Model Name,Feature,Feature detail 
model_00000,Dropout,Drop_state_none
model_00000,Regularizer,Regularizer_None
model_00000,Learning_rate,Learning_rate_0.0001
model_00000,Model,Model_3H_800_400_100
model_00001,Dropout,Drop_state_none
model_00001,Regularizer,Regularizer_None
model_00001,Learning_rate,Learning_rate_0.0001
model_00001,Model,Model_4H_800_400_400_100
model_00010,Dropout,Drop_state_none
model_00010,Regularizer,Regularizer_None
model_00010,Learning_rate,Learning_rate_0.00001
model_00010,Model,Model_3H_800_400_100
model_00011,Dropout,Drop_state_none
model_00011,Regularizer,Regularizer_None
model_00011,Learning_rate,Learning_rate_0.00001
model_00011,Model,Model_4H_800_400_400_100
model_00100,Dropout,Drop_state_none
model_00100,Regularizer,Regularizers_L2
model_00100,Learning_rate,Learning_rate_0.0001
model_00100,Model,Model_3H_800_400_100
model_00101,Dropout,Drop_state_none
model_00101,Regularizer,Regularizers_L2
model_00101,Learning_rate,Learning_rate_0.0001
model_00101,Model,Model_4H_800_400_400_100
model_00110,Dropout,Drop_state_none
model_00110,Regularizer,Regularizers_L2
model_00110,Learning_rate,Learning_rate_0.00001
model_00110,Model,Model_3H_800_400_100
model_00111,Dropout,Drop_state_none
model_00111,Regularizer,Regularizers_L2
model_00111,Learning_rate,Learning_rate_0.00001
model_00111,Model,Model_4H_800_400_400_100
model_01000,Dropout,Drop_state_beginning
model_01000,Regularizer,Regularizer_None
model_01000,Learning_rate,Learning_rate_0.0001
model_01000,Model,Model_3H_800_400_100
model_01001,Dropout,Drop_state_beginning
model_01001,Regularizer,Regularizer_None
model_01001,Learning_rate,Learning_rate_0.0001
model_01001,Model,Model_4H_800_400_400_100
model_01010,Dropout,Drop_state_beginning
model_01010,Regularizer,Regularizer_None
model_01010,Learning_rate,Learning_rate_0.00001
model_01010,Model,Model_3H_800_400_100
model_01011,Dropout,Drop_state_beginning
model_01011,Regularizer,Regularizer_None
model_01011,Learning_rate,Learning_rate_0.00001
model_01011,Model,Model_4H_800_400_400_100
model_01100,Dropout,Drop_state_beginning
model_01100,Regularizer,Regularizers_L2
model_01100,Learning_rate,Learning_rate_0.0001
model_01100,Model,Model_3H_800_400_100
model_01101,Dropout,Drop_state_beginning
model_01101,Regularizer,Regularizers_L2
model_01101,Learning_rate,Learning_rate_0.0001
model_01101,Model,Model_4H_800_400_400_100
model_01110,Dropout,Drop_state_beginning
model_01110,Regularizer,Regularizers_L2
model_01110,Learning_rate,Learning_rate_0.00001
model_01110,Model,Model_3H_800_400_100
model_01111,Dropout,Drop_state_beginning
model_01111,Regularizer,Regularizers_L2
model_01111,Learning_rate,Learning_rate_0.00001
model_01111,Model,Model_4H_800_400_400_100
model_02000,Dropout,Drop_state_middle
model_02000,Regularizer,Regularizer_None
model_02000,Learning_rate,Learning_rate_0.0001
model_02000,Model,Model_3H_800_400_100
model_02001,Dropout,Drop_state_middle
model_02001,Regularizer,Regularizer_None
model_02001,Learning_rate,Learning_rate_0.0001
model_02001,Model,Model_4H_800_400_400_100
model_02010,Dropout,Drop_state_middle
model_02010,Regularizer,Regularizer_None
model_02010,Learning_rate,Learning_rate_0.00001
model_02010,Model,Model_3H_800_400_100
model_02011,Dropout,Drop_state_middle
model_02011,Regularizer,Regularizer_None
model_02011,Learning_rate,Learning_rate_0.00001
model_02011,Model,Model_4H_800_400_400_100
model_02100,Dropout,Drop_state_middle
model_02100,Regularizer,Regularizers_L2
model_02100,Learning_rate,Learning_rate_0.0001
model_02100,Model,Model_3H_800_400_100
model_02101,Dropout,Drop_state_middle
model_02101,Regularizer,Regularizers_L2
model_02101,Learning_rate,Learning_rate_0.0001
model_02101,Model,Model_4H_800_400_400_100
model_02110,Dropout,Drop_state_middle
model_02110,Regularizer,Regularizers_L2
model_02110,Learning_rate,Learning_rate_0.00001
model_02110,Model,Model_3H_800_400_100
model_02111,Dropout,Drop_state_middle
model_02111,Regularizer,Regularizers_L2
model_02111,Learning_rate,Learning_rate_0.00001
model_02111,Model,Model_4H_800_400_400_100
model_03000,Dropout,Drop_state_end
model_03000,Regularizer,Regularizer_None
model_03000,Learning_rate,Learning_rate_0.0001
model_03000,Model,Model_3H_800_400_100
model_03001,Dropout,Drop_state_end
model_03001,Regularizer,Regularizer_None
model_03001,Learning_rate,Learning_rate_0.0001
model_03001,Model,Model_4H_800_400_400_100
model_03010,Dropout,Drop_state_end
model_03010,Regularizer,Regularizer_None
model_03010,Learning_rate,Learning_rate_0.00001
model_03010,Model,Model_3H_800_400_100
model_03011,Dropout,Drop_state_end
model_03011,Regularizer,Regularizer_None
model_03011,Learning_rate,Learning_rate_0.00001
model_03011,Model,Model_4H_800_400_400_100
model_03100,Dropout,Drop_state_end
model_03100,Regularizer,Regularizers_L2
model_03100,Learning_rate,Learning_rate_0.0001
model_03100,Model,Model_3H_800_400_100
model_03101,Dropout,Drop_state_end
model_03101,Regularizer,Regularizers_L2
model_03101,Learning_rate,Learning_rate_0.0001
model_03101,Model,Model_4H_800_400_400_100
model_03110,Dropout,Drop_state_end
model_03110,Regularizer,Regularizers_L2
model_03110,Learning_rate,Learning_rate_0.00001
model_03110,Model,Model_3H_800_400_100
model_03111,Dropout,Drop_state_end
model_03111,Regularizer,Regularizers_L2
model_03111,Learning_rate,Learning_rate_0.00001
model_03111,Model,Model_4H_800_400_400_100
